question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"Which movie did byron haskin directed?
",On Trial,The Man Who Knew Too Much,The Man in the High Castle,The Man Who Knew Too Much,The Night of the Living Dead,The Man in the High Castle,The Dark Side of the Moon,The Man Who Knew Too Much,The Man in the High Castle,The Dark Knight Rises,The Man Who Couldn't,The Secret Life of Walter Mitty,The Dark Side of the Moon,The Greatest Showman,The Big Lebowski,The Dark Side of the Sun,The Dark Knight Rises,The Man Who Couldn't,The Man Who Knew Too Much,Daddy's Homecoming,The Greatest Showman,Into the Woods,The Big Lebowski,The Secret Life of Bees,Daddy's Homecoming,Daddy's Home,The Dark Side of the Sun,The Greatest Hits,I'll Be There,Mystic River,Into the Woods,The Assassination of John Wayne,A Little Night Music,Daddy's Home,The Secret of the Sword,Mystic River,The House of Usher,The Dark Knight Rises,A Little Night Music,In Search of Mr. Smith,A Little Night Music,In Search of Mr. Smith,The House of the Rising Sun,The Secret of the Smell,My Life in the Shadows,The Man Who Killed My Father,The Man Who Killed My Mother,The Secret of the Sword,The Man Who Knew,The Dark Side,Swordsman,False
"what country is sarvakalashala filmed in 
",India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,South Korea,South India,Sri Lanka,South Korea,South India,Sri Lanka,South Korea,South India,Sri Lanka,South Korea,South India,South Korea,South India,South Korea,South India,South Korea,South India,South Korea,South Africa,South India,South Korea,False
"What kind of music does beverly bivens fall under?
",folk rock,alternative rock,alternative rock,alternative rock,pop music,alternative rock,pop music,alternative rock,country music,pop music,alternative rock,country music,pop music,alternative rock,country music,alternative rock,pop music,rock music,alternative rock,country music,pop music,alternative rock,folk rock,rock music,folk rock,pop music,alternative rock,country music,rock music,alternative rock,folk rock,country music,pop music,jazz,jazz,folk rock,rock music,alternative rock,country music,rock music,pop music,folk rock,alternative rock,folk rock,country music,rock music,pop music,country music,rock music,pop music,country music.,False
"which country is hans-joachim ressel from
",Austria,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,United Kingdom,Austria,Switzerland,Austria,Switzerland,Austria,Switzerland,Austria,Switzerland,Austria,Switzerland,Austria,Switzerland,Austria,Germany.,Germany.,Germany.,Germany.,Germany.,False
"who is a person born in fredericksburg, virginia
",Carter Littlepage Stevenson,John A. Smith Jr.,John C. Smith Jr.,John Clemons,John W. McLean,John C. Smith,John C. McLean,John A. Smith,John F. McLean,John C. Smith,John A. Smith,John Cleaver,John W. Smith,John W. Smith Jr.,John F. McLean,John C. Smith,William H. McCulloch,John D. Brown Jr.,John C. Sullivan,John F. Smith,William H. Hodges,John W. Smith,John W. Jones,George W. Bush Jr.,John C. Reilly,William H. Hodges,Paula S. Smith,George W. Bush,Robert E. Smith Jr.,John C. Brown,William H. McCord,John F. Smith,John H. Sutton,Richard E. Brown Jr.,Paula S. Smith,Paula S. Browning,John W. Sutton,John R. Sullivan,George W. Bush Jr.,Paula S. Brown,William H. Smith,Paula A. Smith,John D. Williams,Paula S. Browne,John D. Williamson,George W. Bush,John R. Davidson,John D. Brown,Paula A. Browning,Paula A. Brown,Paula Adler,False
"What is an interactive fiction awarded game featured by a single-player?
",Lost Pig,Xenogears,Xenogears,Star Trek: The Next Generation,Swords & Wizardry,Assassin's Creed,Xenogears,Star Wars: The Last Jedi,X-Files,Assassin's Creed,Xenogears,Sword Art Online,X-Files,Apocalyptic Adventure,Apocalyptica,X-Files,Xenogears,Apocalyptic Adventure,X-Files,Xenosaga,Xenogears,Xenoverse,Apocalyptica,X-Files,Apocalyptic Adventure,Xenosaga,X-Files,Speculative Fiction,Awakening,Xenoverse,Apocalyptica,Unspeakable,Apocalyptic Adventure,Xenoverse,Xenoverse 2,Awakening,Unsung Heroes,Apocalyptica,Awakening,Unreal Tournament 2,The Last of Us,Unsung Heroes,Apocalyptic Adventure,Xenoverse 2,Xenoverse,Awakening,Unreal Tournament,X-Files,Awakening,The Last of Us,Unsung Heroes of the World,False
"what city was niki de saint phalle born
",Neuilly-sur-Seine,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Saint Petersburg,Paris,Saint Petersburg,Paris,Saint Petersburg,Paris,Paris,Saint Petersburg,Paris,Saint Petersburg,Paris,Saint Petersburg,Paris,Paris,Saint Petersburg,Saint Petersburg,Saint Petersburg,Saint Petersburg,Saint Petersburg,Marseille,Saint Petersburg,Marseille,Saint Petersburg,Saint Petersburg,Saint Petersburg,New Orleans,Saint Petersburg,New Orleans,Saint Petersburg,New Orleans,New Orleans,New Orleans,Marseilles,False
"what film genre is teddy at the throttle
",silent film,drama film,drama film,adventure film,drama film,adventure film,drama film,romance film,comedy drama,drama film,comedy drama,adventure film,comedy drama,drama film,romance film,comedy drama,silent film,drama film,comedy drama,drama film,comedy drama,adventure film,comedy drama,drama film,romance film,silent film,drama film,adventure film,silent film,romance film,drama film,adventure film,romance film,silent film,drama film,adventure film,silent film,romance film,drama film,adventure film,musical film,silent film,romance film,romance novel,drama film,adventure film,musical film,action film,silent film,drama film,adventure film,False
"which country does richard burns hail from
",United Kingdom,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,Australia,Canada,Australia,United Kingdom,Canada,United States of America,Australia,Canada,United Kingdom,Australia,Canada,United States of America,United Kingdom,Australia,Canada,Australia,United States of America,United Kingdom,Canada,Australia,Canada,United Kingdom,False
"What is a book by michael lewis (author)?
",The New New Thing,The Man Who Knew Too Much,The Secret Life of Walter Mitty,The Man Who Knew Too Much,The Dark Side of the Moon,The Secret Life of Harry Potter,The Secret Life of Walter Mitty,I'm a Celebrity,The Secret Life of Walter Mitty,The Secret Life of Harry Potter,The Man Who Knew Everything,I'm a Celebrity,The Dark Side of the Sun,Into the Woods,Into the Deep Blue Sea,A Little Night Music,I'm a Celebrity,I'll Be There,Into the Woods,A Little Night Music,The Secret Life of Harry Potter,The Man Who Knew Everything,I'm a Lie,Mythbusters,The Secret Life of Walter Mitty,I'm a Celebrity,The Secret Life of the American Dream,The Greatest Hits,I'll Be There,The Secret Life of the Daleks,A Little Night Music,Mythbusters,The Secret Life of Walter Mitty,I'll Be There,Into the Darkness,A Little Night Music,The Man Who Lived,I'm a Lie,The Secret Life of Harry Potter,I'll Be There,Mythbuster,In Search of Mr. Spock,The Big Bang Theory,The Secret Life of the American Dream,Mythbuster,The Secret of the Sword,In Search of Mr. Smith,The Dark Side,The Secret of the Smell,Into the Dark,In the Beginning,False
"what war did james v. hartinger participate in?
",World War II,World War II,World War II,World War I,World War II,World War I,World War II,World War I,World War II,World War I,World War II,World War I,World War II,American Civil War,World War I,World War II,American Civil War,World War I,World War II,American Civil War,World War II,World War I,American Civil War,American Civil War,World War II,World War I,American Civil War,World War II,World War II,World War I,World War II,World War II,World War I,World War II,World War I,World War II,World War I,World War II,World War I,World War II,World War II,Vietnam War,World War I,Korean War,World War II,World War I,World War II,Vietnam War,World War II,Korean War,World War I,False
"what is the name of a sports game
",NHL 2K11,X-Factor,X-Factor,X-Factor,The X-Files,World Series of Hockey,X-Factor,The X-Games,NBA 2K13,World Series of Hockey,World Series of Football,NBA 2K19,X-Factor,NBA 2K13,World Series of Hockey,World Series of Football,NBA 2K19,X-Factor,X-Box 360,Super Bowl LII,World Series of Hockey,World Series of Football,World Cup Soccer,American Football,X-Box 360,Xenoverse,Super Bowl LII,World Series of Hockey,World Series of Football,X-Factor,World Cup Soccer,X-Box 360,Athlete,World Series of Hockey,World Series of Football,World Cup Soccer,X-Box 360,Athlete,World Cup Soccer,World Series of Football,Xenosaga,Athlete,World Cup Soccer,Survivor: The Final Four,X-Files,Superstars,World Cup Soccer,The Ultimate Fighter,X-Box 360,X-Box Live,The Ultimate Fighter,False
"what state did andrew johnson die
",Illinois,New York City,New York City,New York City,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New Jersey,New York City,Los Angeles,New York City,Los Angeles,New Jersey,California,New York City,Los Angeles,California,Los Angeles,New York City,California,New Jersey,Los Angeles,California,New York City,New York State,California,California,Los Angeles County,Washington State,New Jersey,California,Washington State,Los Angeles County,California,New Jersey,Washington State,California,Los Angeles County,New York State,California,"Washington, DC",Washington State,False
"what country was the coast of folly filmed 
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,Canada,Australia,United Kingdom,France,Canada,Australia,United States of America,France,Canada,False
"what country was involved in battle of ani?
",Byzantine Empire,United Kingdom,United Kingdom,France,France,United Kingdom,France,United Kingdom,France,United Kingdom,France,France,United Kingdom,France,United Kingdom,France,United Kingdom,France,Germany,France,Germany,United Kingdom,Italy,France,Germany,Italy,United Kingdom,France,Germany,Italy,United Kingdom,France,Germany,Italy,France,Germany,United Kingdom,Italy,France,Germany,Italy,United Kingdom,France,Germany,Italy,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,False
"what is the name of a politician
",G. Gopinathan Pillai,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin,Yuri Gagarin,George W. Bush,Arunachal Pradesh,George W. Bush,Michael O'Brien,George W. Bush Jr.,George W. Bush,Arunachalam,Arunachalam Das,George W. Bush Jr.,John F. Kennedy,John F. Keeling,Ayub Khan,Paulo Freire,John F. Kennedy,George S. Bush,Irwin Adler,John F. Keegan,George W. Bush Jr.,Paulo Freire,John F. McLean,Ayub Khan,George Clegg,John F. Kennedy,Paulo Freire,George S. Bush,John F. Keeling,Irwin A. Smith,Michael Osborne,Irwin A. Cohen,John F. McGovern,John F. Keating,Paulo Freire,John F. Keegan,"Michael Payne, Jr.",John F. Kennedy,Irakli,"Michael Pugh, Jr.",Michael O'Brian,John F. Keating,Robert Axtell,Paulo Freires,Paulo Freires,Robert Axt,Michael Payne,False
"What position did jerome woods play?
",safety,midfielder,midfielder,defender,midfielder,defender,midfielder,defender,midfielder,defender,defender,goalkeeper,defender,goalkeeper,pitcher,defender,goalkeeper,pitcher,defender,goalkeeper,pitcher,defender,goalkeeper,pitcher,pitcher,defender,pitcher,defender,pitcher,defender,forward,pitcher,forward,pitcher,defender,forward,pitcher,defender,forward,pitcher,forward,catcher,catcher,catcher,catcher,catcher,lineman,defender.,defender.,defender.,defender.,False
"Which artist made the album still the baddest
",Trina,The Baddest,The Baddest,The Baddest,Black Sabbath,The Killers,The Baddest,Black Sabbath,The Black Keys,Badfinger,The Killers,The Baddest,The Black Keys,Badfinger,The Baddest,The Killers,The Black Keys,The Baddest,The Killers,Axl Rose,Def Jam,The Baddest,The Black Keys,The Killers,Def Jam,The Baddest,Def Jam,The Black Keys,The Baddest,John Mayer,Sly Stone,The Killers,Def Jam,The Baddest,John Mayer,The Black Keys,The Baddest,The Killers,J. Cole,Def Jam Records,The Baddest,Def Jam Records,The Baddest,The Killers,Def Jam Records,The Baddest,Def Jam Records,Axl,The Baddest,J. Lo,Slayer,False
"What is nílton's gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"Name a person born in hammerfest
",Bjørn Sundquist,Axel Schröder,Axel Schröder,Jürgen Schröder,Axel Schütz,Jochen Schröder,Axel Schmid,Sigrid Schröder,Axel Schütz,Jochen Schröder,Heinz Köhler,Sigrid Kühner,Sigrid Schröder,Jürgen Schmid,Sigrid Kühn,Jürgen Müller,Axel Schröter,Karl Henriksen,Axel Schmidl,Karl-Heinz Schütz,Jürgen Schmidl,Carl Schröder,Sigrid Kühne,Carl Kühner,Karl-Heinz Fischer,Sigrid Schröderer,Sigrid Schütz,Carl Kühn,Michael Schröder,"Carl Schröder, Jr.",Sigrid Schröderer,Sigrid Schütz,Karl Henriksson,Carl Kühnert,Jochen Schröderer,Jochen Schrödert,Sigrid Schröter,Jochen Schröderer,Carlo Rocchio,Sigrid Schröter,Carlo Rocchio,Carlo Rocco,Karl Henriks,Carl Kühne,Carlo Rocco,Karl Heinz,Carlo Rocchiello,Carl Schütz,Carl Kühnle,Carlo Rocchiello,Jochen Schröderert,True
"What is simonne monet-chartrand's gender
",female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,False
"who directed i think i love my wife
",Chris Rock,David Cronenberg,David Cronenberg,David Croft,David Croft,John Huston,David Lean,John Ford,David Lean,John Ford,David Lean,James Wan,John Ford,John Huston,George Lucas,John Carpenter,John Ford,James Wan,Paul Newman,George Lucas,John Carpenter,John Ford,James Horner,John Carpenter,John Ford,Michael Mann,John Ford,Michael Mann,John Ford,Michael Mann,John Ford,Michael Mann,John Carpenter,David Lynch,Michael Mann,Michael Mann,John Ford,Michael Mann,Michael Moore,Michael Mann,John Forder,John Forder,John Forder,Michael Manning,John Forder,Michael Manning,John Forder,Michael Manning,Michael Manning,Michael Manning,John Fordham,False
"who is helen taft manning's father
",William Howard Taft,Herbert Taft Manning,Herbert Taft Manning,Carl Gustav von Taft,Herbert Taft Manning,Carl Gustav Taft,Herbert Taft,Thomas Manning,Carl Gustav Taft,Herbert Taft Manning,Carl Gustav von Taft,Herbert Taft,Thomas Manning,Carl Gustav Taft,Herbert Taft Manning,Berthold Manning,Herbert Taft,Carl Gustav von Taft,Thomas Manning,Carl Gustav Taft,Berthold Manning,Herbert Taft Manning,Herbert Taft,Paul Manning,Carl Gustav Taft,Carl Gustav von Taft,Herbert Taft,Walter Taft Manning,Paul Manning,Herbert Taft Manning,Carl Gustav Taft,Thomas Manning,Berthold manning,Herbert Taft,Carl Gustav von Taft,Berthold manning,Carl Gustav Taft,Paul Manning,Herbert Taft,Carl Gustav von Taft,Herbert von Taft,Walter Taft,Carl Gustav Taft,"Thomas Manning, Jr.",Paul Manning,Karl manning,Herbert von Taft,Carl Gustav von Manning,Walter Manning,"Thomas Manning, Jr.",Paul Manning,False
"what is the Bayer designation for andromeda (constellation)
",Lambda Andromedae,asteroid,asteroid,asteroid,asteroid,asteroid,Andromeda,asteroid,Andromeda,asteroid,Andromeda,asteroid,asteroid,Andromeda,asteroid belt,asteroid,Andromeda,asteroid belt,asteroid,Andromeda,asteroid,asteroid belt,Andromeda,asteroid,asteroid belt,Andromeda,asteroid,asteroid belt,Andromeda,asteroid,asteroid belt,Andromeda,asteroid,asteroid belt,Andromeda,asteroid,asteroid belt,asteroid,asteroid belt,asteroid,asteroid belt,asteroid,star,asteroid belt,asteroid,star,asteroid belt,star,asteroid,star,asteroid belt,False
"which politician was born in new westminster?
",Chuck Strahl,George Osborne,George Osborne,John Clegg,John Hodge,John Clegg,John Hendry,John Hobson,David Lloyd George,John Hodge,David Lloyd George,John Clegg,Paul Cockerill,George W. Bush,John Hendry,David Lloyd George,Michael Farquhar,Michael Farron,Paul Cockerill,George W. Bush,David Lloyd George,Michael Farquhar,William Hobson,Michael Farron,David Lloyd George,William Hodge,John Clegg,John Hendry,David Lloyd-George,George W. Bush,John Sutton,David Lloyd George,David Lloyd Webber,George Osborn,David Lloyd-George,George Whitehead,Richard Haines,John Sutton,George Osborn,Paul Cockerell,Richard Haines,John Henley,William Hague,Paul Cox,Paul Cockerell,Richard Haines,Paul Cox,John Smith,David Lloyd Webb,David Jones,George Brown,False
"what gender is pieraldo ferrante
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"what type of music is perform by winter equinox
",post-rock,alternative rock,alternative rock,alternative rock,punk rock,alternative rock,punk rock,alternative rock,indie rock,punk rock,rock music,alternative rock,punk rock,rock music,alternative rock,hard rock,rock music,alternative rock,rock music,hard rock,pop punk,alternative rock,rock music,alternative rock,progressive metal,rock music,alternative rock,hard rock,progressive metal,rock music,alternative rock,progressive metal,alternative rock,hard rock,pop music,alternative rock,pop music,alternative rock,alternative rock,alternative rock,hard rock,alternative rock,indie metal,punk metal,punk metal,punk metal,hard rock music,hard rock music,hard rock music,hard rock music,hard rock music,False
"what is mike stark's nationality 
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Canada,Australia,United States of America,United Kingdom,Canada,Australia,United Kingdom,Canada,United States of America,Australia,Canada,United Kingdom,Australia,United States of America,Canada,Australia,United Kingdom,Canada,United States of America,Australia,False
"what baseball position does brayan peña play
",catcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,catcher,pitcher,catcher,pitcher,pitcher,catcher,pitcher,catcher,pitcher,catcher,pitcher,shortstop,pitcher,catcher,shortstop,pitcher,catcher,pitcher,shortstop,catcher,pitcher,pitcher,catcher,pitcher,catcher,pitcher,catcher,pitcher,catcher,defender,defender,defender,defender,defender,defender,defender,defender,defender,defender,False
"which album is consider an emo album
",In Love and Death,The Best of Emo,The Best of the Best,The Best of Emo,The Best of the Best,The Best of Emo,The Best of the Best,The Best of Emo,Embarrassment,The Best of the Best,The Best of Emo,The Best of the Best,Emotions,Ain't No Fun,Ain't No Fun!,The Best of Emo,I'm a Survivor,Emotions,I'm a Man,I'll Be There,Ain't No Time,Emotions,I'm a Survivor,Electra,Emotions of the Heart,I'm a Man,Embraced,I'll Be There,Emotions,Emo,Electra,I'm a Friend,Emotions in the Dark,Emotions,Emo,Electra,Embrace,Embraced,Electrified,Embraced by Emo,Emotions,Emo,Embrace the Night,Emotions in the Darkness,Embrace,Emotions in the Dark,Emotions in Motion,Emo,Embraced by the Dark,Electrify,Embrace,False
"Who discovered 2212 hephaistos
",Lyudmila Chernykh,Hephaistos,Hephaistos,Hephaistos,Alexander von Humboldt,Xenophon,Yuri Gagarin,Alexander von Humboldt,Hephaestos,Hephaistos,Hephaistos the Great,Aristotle,Xenophon,Alexander von Humboldt,Yuri Gagarin,Hephaistos,Hephaestos,Hephaistos the Elder,Alexander von Humboldt,Hephaistos the Great,Alexander Fleming,Xenophon,Aristotle,Hephaistos,Hephaestos,Hephaistos the Elder,Aristotle,Xenopus,Xenophon,Hephaistos,Aristotle,Xenopus,Aristotle the Elder,Xenophon of Alexandria,Hephaistos,Xenophon,Aristotle the Great,Hephaestos,Paulo Freire,Aristotle the Elder,Xenophon,Xenophon of Alexandria,Aristotle the Great,Aristotle the Elder,Aristotle the Great,Hephaestus,Aristotle the Elder,Aristotle the Great,Paulos Aquila,Hephaestus,John F. Kennedy,False
"What is the name of a city located in mountain time zone
",Snowville,Elkton,Elkton,Salt Lake City,Elkton,Los Alamos,Elkton,Ogden,Squaw Valley,Elkton,Ogden,Elko,Elkton,Ogden,Elko,La Plata,St. Louis,Squaw Valley,Ogden,Elko,Elko County,Elko,Elko County,La Paz,Los Angeles,Elko,The Villages,La Paz,Elko,Avondale,Elko County,La Paz County,La Paz,Ute,Avondale,Elko County,La Paz County,Avondale,Elko County,La Paz County,Ogden Valley,San Juan,Squaw Peak,St. Louis County,Ogden Valley,St. Louis City,San Juan County,Utrecht,Upton,Ogden Valley,Upton,False
"what is the mouth of hrazdan river
",Aras River,Azerbaijan,Karaganda,Azerbaijan,Karaganda,Azerbaijan,Zagreb,Karaganda,Azerbaijan,Zagreb,Karaganda,Hrazdan,Zagreb,Azerbaijan,Karaganda,Hrazdan,Zagreb,Azerbaijan,Karaganda,Izmir,stanbul,Zagreb,Azerbaijan,Karaganda,Skopje,stanbul,Zagreb,Baku,Azerbaijan,Karaganda,Skopje,Baku,stanbul,Karaganda,Baku,stanbul,Skopje,Karaganda,Baku,Hrazdan Province,Samarkand,Skopje,Baku,stanbul,Hrazdan Province,Hrazdan River,Karachi,Hrazdan River,Karachi,Karachi,Karachi,False
"What is the nationality of Lambros Lambrou?
",Cyprus,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,France,Greece,France,Greece,France,Greece,France,Italy,Greece,France,Italy,France,Italy,France,Italy,France,Italy,France,Italy,France,Italy,France,Italy,France,Italy,Greece.,Greece.,"Greece,","Greece,",False
"Name a famous politician
",Lucienne Herman-Michielsens,Yuri Gagarin,Yuri Gagarin,Paulo Coelho,Yuri Gagarin,Ayodhya,Paulo Coelho,Paulo Coelho,George W. Bush,Yuri Gagarini,Yuri Gagarino,George W. Bush,"George W. Bush, Jr.",George W. Bush Jr.,George S. Bush,George W. Bush,John F. Kennedy,John F. McKay,John F. McKinley,George W. Bush Jr.,Irwin Allen,John F. Kennedy,George W. Bush,Irwin Allen,George S. Bush,Paulo Freire,George W. Bush Jr.,John F. Kennedy,John F. Kennedy Jr.,Irwin Allen,John F. Keeling,Ayub Khan,Paulo Freire,John F. McKay,John F. McKinley,Ayub Khan,George W. Bush Jr.,John F. Keeler,Paulo Freire,John F. Kennedy,Ayub Khan,George S. Bush,John F. McGovern,Irakli,John F. Keating,Pauline Hansen,John F. Keeling,George S. Bush Jr.,Irakli,John F. Kennedy,John F. Keeble,False
"which architect uses modernisme 
",Park Güell,John Lennon,Richard Mendelsohn,Louis XIV,Louis Comfort Tiffany,Frank Lloyd Wright,Frank Gehry,Louis Comfort Tiffany,Louis XIV,Frank Lloyd Wright,Frank Gehry,Louis Comfort Tiffany,Louis XIV,Georges Braque,Louis Comfort Tiffany,Louis XIV,John Singer Sargent,David Hockney,Georges Braque,Louis Comfort Tiffany,Louis XIV,Paul Gauguin,Georges Braque,Louis Comfort Tiffany,Paul Gauguin,Louis Comfort Tiffany,Paul Gauguin,John Dewey,Richard Serra,Louis Comfort Tiffany,Paul Gauguin,Richard Mendelson,Georges Bataille,Louis XVIII,Henry Watkins,Richard Serra,Paul Gauguin,Richard Mendelson,Georges Bataille,Paul Gaud,Paul Gauguin,Richard Mendelson,Henry Moore,Henry Moore,Henry Moore,George Washington,Georges Braques,Henry Moore,George Washington,A. Astor,Charles Dumont,False
"what is camilla von hollay's gender
",female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,False
"Where was Tyler Green born?
",Raleigh,New York City,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,Los Angeles,Los Angeles,Los Angeles,San Diego,San Francisco,Los Angeles,San Diego,San Francisco,Los Angeles,San Diego,San Francisco,Philadelphia,Houston,Chicago,Philadelphia,Houston,Chicago,Atlanta,Philadelphia,Houston,Chicago,Atlanta,Nashville,Philadelphia,Houston,Chicago,Atlanta,Nashville,Los Angeles County,Los Angeles County,Los Angeles County,Los Angeles County,False
"what kind of game is fast food
",action game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,platform game,platform game,single-player video game,platform game,single-player video game,platform game,single-player video game,fighting game,racing video game,platform game,single-player video game,racing video game,fighting game,platform game,single-player video game,fighting game,platform game,fighting game,platform game,fighting game,platform game,fighting game,platform game,fighting game,platform game,fighting game,platform game,fighting game,platform game,single-player videogame,fighting game,platform game,single-player videogame,fighting game,platform game,single-player videogame,fighting game,single-player videogame,platform game,single-player videogame,single-player videogame,single-player videogame,single-player videogame,single-player videogame,single-player videogame,False
"which country was disciple filmed in
",Finland,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,Canada,France,Italy,India,United Kingdom,Canada,France,Australia,Italy,India,United States of America,Canada,Japan,United Kingdom,False
"What country is nigel slater from
",United Kingdom,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,Australia,Canada,Australia,United States of America,Canada,Australia,False
"who was the guitar player for Spinnerette
",Tony Bevilacqua,John Lennon,John Lennon,John McLaughlin,John Lennon,John McLaughlin,John Lennon,John McLaughlin,Paul McCartney,John McLaughlin,Paul McCartney,John Smollett,Dave Brubeck,John McLaughlin,Paul McCartney,Joe Strummer,Joe Cockerill,John McLean,John Cage,Paul McCartney,Dave Brubeck,John Cage,John Cleaver,John McLean,John Squires,John Cage,Dave Stratton,Joe Cockerell,Joe Stalling,Dave Grisham,John McLean,David Bowie,John Cage,Dave Grissom,John Squier,John Squire,John Cage,John Cage Jr.,Mike Brubeck,Eric Hodges,John Cage,Mike Bruton,Joe Cocker,Mike Squier,Joey Deegan,Mike Sullivan,Mike Squire,Eric Hoffer,John Squirell,Mike Sullivan,Eric Johnson,False
